x,t,u
-0.9215686274509804,0.494949494949495,-0.9708245987703008
-0.3254901960784313,0.696969696969697,-0.3180701762504353
-0.09019607843137256,0.4545454545454546,-0.11630898412956471
0.6000000000000001,0.26262626262626265,0.9030131100207982
-0.7333333333333334,0.7676767676767677,-0.6556332771169948
0.6784313725490196,0.9696969696969697,0.5188485746294197
-0.5294117647058824,0.26262626262626265,-0.8265012183770583
-0.7254901960784313,0.7777777777777778,-0.6436160792724084
0.4039215686274509,0.26262626262626265,0.6595743168116494
0.5529411764705883,0.7171717171717172,0.5240406207234992
0.2078431372549019,0.787878787878788,0.18717113315236428
-0.7725490196078432,0.4444444444444445,-0.9081459905980704
-0.7725490196078432,0.7373737373737375,-0.7056658581136882
-0.22352941176470587,0.27272727272727276,-0.3722170003382048
-0.0980392156862745,0.07070707070707072,-0.24945347053628628
1.0,0.09090909090909091,3.0471253048744417e-16
-0.4274509803921569,0.4444444444444445,-0.5454955062723521
-0.615686274509804,0.9090909090909092,-0.4944833322559969
0.8980392156862744,0.12121212121212122,0.4791176507955534
-0.6941176470588235,0.4545454545454546,-0.8312439874060671
-0.9529411764705882,0.7070707070707072,-0.8668201298349142
-0.15294117647058825,0.20202020202020204,-0.29059184638352836
-0.19999999999999996,0.7272727272727273,-0.19050293587409375
0.23921568627450984,0.30303030303030304,0.37895447698347695
0.7568627450980392,0.8080808080808082,0.6532040316736522
0.8666666666666667,0.5757575757575758,0.888795476896735
-0.41960784313725497,0.5454545454545455,-0.4769484850586517
0.968627450980392,0.17171717171717174,0.2056620098572387
0.26274509803921564,0.4646464646464647,0.33207957237811375
-0.8666666666666667,0.8585858585858587,-0.712030100640508
0.8823529411764706,0.010101010101010102,0.3775767910787817
-0.7254901960784313,0.7575757575757577,-0.6546152254235884
0.17647058823529416,0.494949494949495,0.21578288869430026
0.584313725490196,0.7171717171717172,0.5525617248056216
-0.5058823529411764,0.6666666666666667,-0.5043235059594984
-0.45882352941176474,0.43434343434343436,-0.5901894037271688
-0.050980392156862786,0.30303030303030304,-0.08179549382995807
0.7725490196078431,0.6262626262626263,0.7762319121534959
-0.5529411764705883,0.14141414141414144,-0.9622407846887235
0.3254901960784313,0.5858585858585859,0.35625206382185765
-0.0980392156862745,0.09090909090909091,-0.2373711962618059
-0.7803921568627451,0.6464646464646465,-0.769451143835067
0.41960784313725497,0.6262626262626263,0.4378722529953633
0.6705882352941177,0.08080808080808081,0.9545955538497316
0.15294117647058814,0.7575757575757577,0.1417080970004145
-0.6470588235294118,0.4141414141414142,-0.8179139273178915
-0.6941176470588235,0.787878787878788,-0.6121618891501477
-0.15294117647058825,0.04040404040404041,-0.4144617651020275
0.0117647058823529,0.17171717171717174,0.023952039612303896
0.10588235294117654,0.494949494949495,0.12973526447869005
-0.5137254901960784,0.18181818181818182,-0.8897187101877659
0.0039215686274509665,0.32323232323232326,0.006097355827002989
-0.4117647058823529,0.6666666666666667,-0.4128605683101813
0.37254901960784315,0.14141414141414144,0.7424568685007308
0.5921568627450979,0.6767676767676768,0.5808267671268003
0.30980392156862746,0.10101010101010102,0.6843332060083667
-1.0,0.17171717171717174,-5.12428708326446e-16
0.9843137254901961,0.5858585858585859,0.9417374800118933
-0.9529411764705882,0.797979797979798,-0.8109994712378984
1.0,0.17171717171717174,4.829065015055865e-16
-0.9372549019607843,0.29292929292929293,-0.7703473271812185
0.0352941176470587,0.9292929292929294,0.028234185304830992
-0.788235294117647,0.98989898989899,-0.5908716913947011
-0.8117647058823529,0.5858585858585859,-0.837884696251347
0.3647058823529412,0.4444444444444445,0.4687610858859076
0.45882352941176463,0.3434343434343435,0.6613263307339199
-0.7647058823529411,0.6161616161616162,-0.7762538150801744
0.9607843137254901,0.595959595959596,0.9400560978181192
-0.3568627450980393,0.29292929292929293,-0.5636555074036098
-0.3647058823529412,0.020202020202020204,-0.8859587618224029
-0.403921568627451,0.15151515151515152,-0.7792369512771739
-0.07450980392156858,0.9595959595959597,-0.058187358645166776
-0.6470588235294118,0.4141414141414142,-0.8179139273178915
-0.15294117647058825,0.48484848484848486,-0.18949646680458726
-0.5843137254901961,0.4646464646464647,-0.7108153439816961
-0.8980392156862745,0.787878787878788,-0.7759692411866097
-0.26274509803921564,0.06060606060606061,-0.6451340092675031
0.34901960784313735,0.08080808080808081,0.7805664576865213
0.5294117647058822,0.27272727272727276,0.8165196094043455
-0.2941176470588236,0.48484848484848486,-0.36189149495840706
-0.3568627450980393,0.6767676767676768,-0.3552150616064664
0.5764705882352941,0.494949494949495,0.6796790623616975
0.3647058823529412,0.4444444444444445,0.4687610858859076
0.6705882352941177,0.9393939393939394,0.5248392962978441
0.8117647058823529,0.16161616161616163,0.8469760985618563
0.6470588235294117,0.5757575757575758,0.6948430008135159
0.8745098039215686,0.5454545454545455,0.9148107404569279
-0.16862745098039222,0.4747474747474748,-0.21145206536194563
-0.207843137254902,0.8080808080808082,-0.18383538303761687
-0.3568627450980393,0.26262626262626265,-0.5898170246144442
-0.5294117647058824,0.9595959595959597,-0.410255998719446
0.4980392156862745,0.33333333333333337,0.7201859408581962
0.4274509803921569,0.5454545454545455,0.48554518913193734
0.607843137254902,0.5252525252525253,0.6907202504125399
-0.6705882352941177,0.8484848484848485,-0.5635617089856834
-0.019607843137254943,0.43434343434343436,-0.02598639239850085
-0.5607843137254902,0.2828282828282829,-0.8430974482648939
0.7882352941176469,0.020202020202020204,0.6486858048462877
-0.4666666666666667,0.36363636363636365,-0.6542900211133257
-0.7176470588235294,0.8282828282828284,-0.6111590765984753
0.13725490196078427,0.0,-0.41796034488678324
0.7647058823529411,0.8989898989898991,0.6140516314657325
0.8352941176470587,0.5454545454545455,0.885498528495113
-0.8117647058823529,0.14141414141414144,-0.8090182670614815
-0.34901960784313724,0.30303030303030304,-0.5439679668390808
-0.6941176470588235,0.5555555555555556,-0.7542858571475566
-0.388235294117647,0.31313131313131315,-0.591865093857862
0.06666666666666665,0.10101010101010102,0.1581865541696742
-0.44313725490196076,0.6666666666666667,-0.4435427366386867
